simulation_id,target_rate_prestacion_efectiva,target_rate_lista_espera,target_rate_sin_grado,target_final_prestacion_efectiva,target_final_lista_espera,target_final_sin_grado,target_month_prestacion_effectiva_exceeds_no_solicitantes
56,0.4333803037419759,0.19054329105996556,0.1863159542821356,2768,1217,1190,36
57,0.44637545013308283,0.15860341318302804,0.21027086268983874,2851,1013,1343,35
58,0.4922498825739784,0.17989666510098637,0.12791607953655865,3144,1149,817,35
59,0.49851260372631906,0.22827618600281824,0.10677939564740879,3184,1458,682,33
60,0.42195083763895413,0.176452168467199,0.21277595115077502,2695,1127,1359,37
61,0.46641615782057305,0.23688742758728668,0.14826992328166588,2979,1513,947,32
62,0.48082041647095664,0.23219038672303116,0.1456082667919211,3071,1483,930,32
63,0.4870831376232973,0.2334429309534993,0.13245655237200563,3111,1491,846,32
64,0.4416784092688273,0.16095193361515578,0.2406450602786911,2821,1028,1537,33
65,0.5079066854548301,0.21058399874745576,0.0959762016596211,3244,1345,613,34
66,0.46578988570533897,0.23594801941443558,0.10677939564740879,2975,1507,682,35
67,0.4551432597463598,0.1881947706278378,0.15954282135587913,2907,1202,1019,35
68,0.49882573978393613,0.21935180836073273,0.13104744011272898,3186,1401,837,31
69,0.502113668388915,0.22451855331141382,0.10897134805072804,3207,1434,696,32
70,0.5147956787224048,0.16079536558634727,0.15688116486613435,3288,1027,1002,32
71,0.46281509315797714,0.194614059808987,0.1357444809769845,2956,1243,867,36
72,0.4653201816189134,0.1999373727884766,0.13731016126506967,2972,1277,877,36
73,0.45373414748708313,0.16674495068107092,0.2270236417723501,2898,1065,1450,32
74,0.4950681070925317,0.19571003601064663,0.1459214028495381,3162,1250,932,32
75,0.42007202129325194,0.20338186942226397,0.1845937059652419,2683,1299,1179,37
76,0.4516987631125724,0.15907311726945358,0.22937216220447784,2885,1016,1465,34
77,0.560513543134492,0.16893690308439016,0.12447158290277126,3580,1079,795,30
78,0.5238766243932989,0.1983716925003914,0.10740566776264286,3346,1267,686,31
79,0.447941130421168,0.1811492093314545,0.17770471269766713,2861,1157,1135,37
80,0.45310787537184904,0.17989666510098637,0.1935180836073274,2894,1149,1236,34
81,0.4704869265695945,0.14247690621575074,0.17426021606387976,3005,910,1113,37
82,0.4244559260998904,0.20776577422890247,0.21935180836073273,2711,1327,1401,33
83,0.5229372162204478,0.1883513386566463,0.1312040081415375,3340,1203,838,31
84,0.4397995929231251,0.20322530139345546,0.17441678409268827,2809,1298,1114,35
85,0.39940504149052763,0.2379834037889463,0.15891654924064505,2551,1520,1015,38
86,0.43839048066384845,0.23751369970252076,0.16627524659464538,2800,1517,1062,33
87,0.4745576953186159,0.15437607640519807,0.20948802254579615,3031,986,1338,33
88,0.4992954438703617,0.19383121966494443,0.13151714419915453,3189,1238,840,33
89,0.4114607797087835,0.1845937059652419,0.22686707374354156,2628,1179,1449,36
90,0.466103021762956,0.23031157037732894,0.11210270862689839,2977,1471,716,35
91,0.4830123688742759,0.21935180836073273,0.1302645999686864,3085,1401,832,33
92,0.5304524816032566,0.1944574917801785,0.09628933771723815,3388,1242,615,33
93,0.49475497103491467,0.176452168467199,0.16267418193204947,3160,1127,1039,32
94,0.45185533114138093,0.19931110067324254,0.18036636918741192,2886,1273,1152,35
95,0.4745576953186159,0.2154376076405198,0.09816815406294034,3031,1376,627,36
96,0.49788633161108503,0.17144199154532644,0.13903240958196336,3180,1095,888,34
97,0.4880225457961484,0.15531548457804917,0.15453264443400658,3117,992,987,34
98,0.4181932049475497,0.22498825739783937,0.20494754971034915,2671,1437,1309,34
99,0.49788633161108503,0.1919524033192422,0.1276029434789416,3180,1226,815,34
100,0.45091592296852984,0.21058399874745576,0.1700328792860498,2880,1345,1086,34
