simulation_id,node_id,node_type,value_initial,value_final,value_max,value_min,value_mean,rate_final
35,prestacion_efectiva,administrative_state,0.0,2587.0,2587.0,0.0,1359.4754098360656,0.4050414905276343
35,lista_espera,administrative_state,0.0,1452.0,1452.0,0.0,783.2786885245902,0.2273367778299671
35,grado_I,degree,0.0,1536.0,1536.0,0.0,927.3770491803278,0.3663248270927737
35,grado_II,degree,0.0,1547.0,1547.0,0.0,907.5737704918033,0.36894824707846413
35,grado_III,degree,0.0,1110.0,1110.0,0.0,657.360655737705,0.2647269258287622
35,teleasistencia,benefit,0.0,737.0,737.0,0.0,388.4754098360656,0.28488596830305374
35,ayuda_domicilio,benefit,0.0,555.0,555.0,0.0,290.0163934426229,0.2145342095090839
35,atencion_residencial,benefit,0.0,277.0,277.0,0.0,151.2295081967213,0.10707383069192114
35,cuidados_familiares,benefit,0.0,1018.0,1018.0,0.0,529.7540983606557,0.39350599149594123
36,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
36,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
36,no_solicitantes,administrative_state,6387.0,695.0,6387.0,695.0,2561.655737704918,0.10881478002191952
36,pendiente_grado,administrative_state,0.0,200.0,938.0,0.0,546.4918032786885,0.03131360576170346
36,sin_grado,administrative_state,0.0,704.0,704.0,0.0,419.8032786885246,0.11022389228119618
36,con_derecho,administrative_state,0.0,165.0,568.0,0.0,337.59016393442624,0.025833724753405354
36,con_pia,administrative_state,0.0,34.0,143.0,0.0,75.78688524590164,0.005323312979489589
36,prestacion_efectiva,administrative_state,0.0,3030.0,3030.0,0.0,1625.311475409836,0.47440112728980743
36,lista_espera,administrative_state,0.0,1559.0,1559.0,0.0,820.360655737705,0.24408955691247847
36,grado_I,degree,0.0,1831.0,1831.0,0.0,1093.704918032787,0.38241436925647454
36,grado_II,degree,0.0,1764.0,1764.0,0.0,1047.032786885246,0.3684210526315789
36,grado_III,degree,0.0,1193.0,1193.0,0.0,718.311475409836,0.24916457811194653
36,teleasistencia,benefit,0.0,950.0,950.0,0.0,513.5081967213115,0.31353135313531355
36,ayuda_domicilio,benefit,0.0,674.0,674.0,0.0,360.4754098360656,0.22244224422442244
36,atencion_residencial,benefit,0.0,299.0,299.0,0.0,160.60655737704917,0.09867986798679867
36,cuidados_familiares,benefit,0.0,1107.0,1107.0,0.0,590.7213114754098,0.36534653465346534
37,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
37,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
37,no_solicitantes,administrative_state,6387.0,903.0,6387.0,903.0,2801.934426229508,0.14138093001409113
37,pendiente_grado,administrative_state,0.0,202.0,843.0,0.0,496.0163934426229,0.03162674181932049
37,sin_grado,administrative_state,0.0,1336.0,1336.0,0.0,772.9672131147541,0.2091748864881791
37,con_derecho,administrative_state,0.0,146.0,495.0,0.0,304.42622950819674,0.022858932206043524
37,con_pia,administrative_state,0.0,20.0,109.0,0.0,62.295081967213115,0.003131360576170346
37,prestacion_efectiva,administrative_state,0.0,2713.0,2713.0,0.0,1407.327868852459,0.4247690621575074
37,lista_espera,administrative_state,0.0,1067.0,1067.0,0.0,542.0327868852459,0.16705808673868797
37,grado_I,degree,0.0,1455.0,1455.0,0.0,867.1475409836065,0.36872782564622403
37,grado_II,degree,0.0,1480.0,1480.0,0.0,858.0327868852459,0.3750633552965028
37,grado_III,degree,0.0,1011.0,1011.0,0.0,590.9016393442623,0.25620881905727316
37,teleasistencia,benefit,0.0,874.0,874.0,0.0,450.72131147540983,0.32215259859933654
37,ayuda_domicilio,benefit,0.0,552.0,552.0,0.0,285.672131147541,0.20346479911537044
37,atencion_residencial,benefit,0.0,269.0,269.0,0.0,144.62295081967213,0.09915223000368596
37,cuidados_familiares,benefit,0.0,1018.0,1018.0,0.0,526.311475409836,0.37523037228160705
38,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
38,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
38,no_solicitantes,administrative_state,6387.0,822.0,6387.0,822.0,2746.5737704918033,0.1286989196806012
38,pendiente_grado,administrative_state,0.0,192.0,790.0,0.0,478.5409836065574,0.030061061531235323
38,sin_grado,administrative_state,0.0,883.0,883.0,0.0,518.8196721311475,0.13824956943792077
38,con_derecho,administrative_state,0.0,142.0,497.0,0.0,293.44262295081967,0.022232660090809455
38,con_pia,administrative_state,0.0,34.0,125.0,0.0,71.27868852459017,0.005323312979489589
38,prestacion_efectiva,administrative_state,0.0,2924.0,2924.0,0.0,1540.655737704918,0.4578049162361046
38,lista_espera,administrative_state,0.0,1390.0,1390.0,0.0,737.688524590164,0.21762956004383904
38,grado_I,degree,0.0,1639.0,1639.0,0.0,977.0819672131148,0.36503340757238306
38,grado_II,degree,0.0,1637.0,1637.0,0.0,951.7868852459017,0.3645879732739421
38,grado_III,degree,0.0,1214.0,1214.0,0.0,714.1967213114754,0.27037861915367484
